cz,czname,state_id,pop2000,s_rank,e_rank_b,prob_p1_k5,bowl90,mergebowlingalleys,bowl_per_capita
34801,Las Vegas,New Mexico,49495,.26763001,41.96175,.085848421,1,matched (3),.20204061
34802,Santa Fe,New Mexico,218804,.26710999,40.074749,.080323316,2,matched (3),.09140601
34803,Tucumcari,New Mexico,10965,.26372999,43.63525,.073033705,1,matched (3),.91199273
34805,Alamosa,Colorado,46190,.28628001,45.211002,.098867923,1,matched (3),.21649708
34901,Albuquerque,New Mexico,755244,.31540999,39.250252,.065984614,13,matched (3),.17212979
35001,Phoenix,Arizona,3303211,.29370001,40.286499,.075277291,36,matched (3),.10898487
35002,Safford,Arizona,42036,.30917999,44.675499,.1105919,2,matched (3),.47578266
35100,Tucson,Arizona,999882,.29027,39.889751,.070549995,16,matched (3),.16001888
35201,Grand Junction,Colorado,187857,.24695,47.06675,.14636715,3,matched (3),.15969594
35300,Farmington,New Mexico,168198,.29367,41.708752,.091447525,4,matched (3),.23781496
35401,Flagstaff,Arizona,289883,.25694999,41.597752,.081450909,6,matched (3),.20698006
35402,Cortez,Colorado,40087,.22289,45.986248,.12678063,1,matched (3),.24945743
35500,Gallup,Arizona,241691,.3028,34.087997,.041061398,4,matched (3),.16550058
35701,Twin Falls,Idaho,120807,.23233999,45.4935,.087119184,6,matched (3),.49665996
35702,Burley,Idaho,41590,.27004001,48.723,.11389237,3,matched (3),.72132725
35801,Boise City,Idaho,493970,.25878999,42.66275,.073920421,13,matched (3),.26317388
35803,McCall,Idaho,11127,.23484001,44.324001,.12403101,1,matched (3),.89871484
35901,St. George,Utah,130138,.23684999,46.249249,.10848329,2,matched (3),.15368301
35902,Price,Utah,54045,.25512001,50.045998,.13734393,3,matched (3),.55509299
35903,Moab,Utah,8485,.33888999,46.07325,.11797753,1,matched (3),1.1785504
36000,Provo,Utah,389179,.18343,49.306751,.137512,7,matched (3),.17986582
36100,Salt Lake City,Utah,1426729,.26385999,46.1525,.10832743,24,matched (3),.16821694
36200,Logan,Utah,149590,.18865,50.522251,.13690953,4,matched (3),.26739755
36301,Pocatello,Idaho,269722,.23619001,46.37075,.092508666,12,matched (3),.44490254
36302,Salmon,Idaho,12148,.20513,48.439251,.15492958,1,matched (3),.82318079
36303,Jackson,Wyoming,24250,.14978001,50.3535,.11392405,2,matched (3),.82474226
36401,Steamboat Springs,Colorado,38860,.17895,51.550751,.15890411,2,matched (3),.51466805
36402,Vernal,Utah,39595,.23467,56.553745,.25337839,1,matched (3),.25255713
36404,Rock Springs,Wyoming,80730,.22408,52.637001,.20539419,5,matched (3),.61934847
36501,Klamath Falls,California,151353,.29403999,43.292,.085617594,9,matched (3),.59463638
36600,Redding,California,219295,.31305,41.80125,.088071346,5,matched (3),.22800337
36700,Eureka,California,139540,.30125001,39.31625,.07579273,6,matched (3),.42998424
36800,Medford,Oregon,256995,.27122,40.814499,.071968012,5,matched (3),.19455631
36901,Crescent City,California,48644,.28298,39.539497,.08342246,2,matched (3),.4111504
36902,Roseburg,Oregon,163178,.29352999,40.773247,.081977881,5,matched (3),.30641386
37000,Modesto,California,729182,.26062,42.364498,.093628272,8,matched (3),.10971198
37100,Bakersfield,California,661645,.25608,45.296001,.12161972,8,matched (3),.12091076
37200,Fresno,California,1419998,.29471001,41.338749,.074879371,12,matched (3),.08450716
37300,Chico,California,387577,.26829001,42.83625,.094842598,6,matched (3),.15480796
37400,Sacramento,California,2570609,.25729001,42.655251,.096909009,28,matched (3),.10892361
37500,San Jose,California,2393183,.23546,44.746498,.12932588,21,matched (3),.087749243
37601,Elko,Nevada,61917,.25876999,46.925251,.16029412,4,matched (3),.64602613
37603,Portola,California,24379,.25116,44.582001,.11764706,2,matched (3),.82037818
37604,Reno,Nevada,453825,.27695,41.375751,.091030493,7,matched (3),.15424448
37700,Santa Rosa,California,603188,.24784,42.290001,.099550895,11,matched (3),.18236437
37800,San Francisco,California,4642561,.25005001,44.36425,.12152587,53,matched (3),.11416113
37901,Las Vegas,Nevada,1568418,.25905001,40.03825,.080029011,10,matched (3),.063758515
37903,Mammoth Lakes,California,30798,.29231,44.950752,.11594203,1,matched (3),.32469642
38000,San Diego,California,2813833,.23677,44.270248,.10436475,19,matched (3),.067523554
38100,Yuma,California,302387,.23006,44.036499,.098213226,3,matched (3),.099210612
38200,Santa Barbara,California,646028,.21525,44.71125,.11294083,7,matched (3),.10835443
38300,Los Angeles,California,16393360,.23105,43.37825,.096090205,154,matched (3),.093940474
38401,Lewiston,Idaho,88546,.27979001,44.979752,.09020979,4,matched (3),.45174259
38402,Pullman,Washington,75675,.2543,48.216499,.1423611,3,matched (3),.3964321
38501,Moses Lake,Washington,91126,.31020999,45.13625,.096579477,2,matched (3),.21947633
38502,Wenatchee,Washington,99219,.26600999,44.953251,.093546048,4,matched (3),.40314859
38601,Spokane,Washington,608317,.28740999,43.084251,.092801489,20,matched (3),.32877594
38602,Colville,Washington,86890,.29629001,42.31525,.097524755,4,matched (3),.46035218
38700,Longview,Washington,220580,.32132,41.164997,.09277267,10,matched (3),.45335025
38801,Portland,Oregon,1842889,.27709001,41.282249,.093058541,39,matched (3),.21162425
38802,The Dalles,Oregon,65297,.28852999,43.173252,.10438024,4,matched (3),.61258554
38901,Eugene,Oregon,936387,.29383001,40.474751,.078895815,25,matched (3),.26698363
38902,Newport,Oregon,68741,.27676001,41.119999,.072574481,3,matched (3),.43642077
39000,Yakima,Washington,255943,.30471,43.180752,.081706583,7,matched (3),.27349839
39100,Kennewick,Washington,332609,.29056999,44.05825,.1058548,11,matched (3),.33071867
39201,La Grande,Oregon,41271,.24607,45.394753,.087674715,2,matched (3),.48460177
39203,Bend,Oregon,153558,.27695999,41.487999,.081726357,2,matched (3),.13024394
39205,John Day,Oregon,7935,.16577999,49.717499,.11585366,1,matched (3),1.2602395
39302,Bellingham,Washington,166814,.27619001,44.122753,.11557513,4,matched (3),.23978803
39303,Port Angeles,Washington,90478,.28534001,41.405502,.085840061,4,matched (3),.44209641
39400,Seattle,Washington,3775744,.27327001,43.201752,.10855095,63,matched (3),.16685453
